"ind_1_angle_L1.Y","ind_1_angle_L2.Y","ind_1_angle_L3.Y","ind_1_angle_IN23.Y","ind_2_angle_L1.Y","ind_2_angle_L2.Y","ind_2_angle_L3.Y","ind_2_angle_IN23.Y","ind_3_angle_L1.Y","ind_3_angle_L2.Y","ind_3_angle_L3.Y","ind_3_angle_IN23.Y","time","mean_L1.Y","mean_L2.Y","mean_L3.Y","mean_IN23.Y"
220.71561260373,132.600766140125,189.616053470448,172.11736222735,131.642843485719,212.326668675151,162.464851869854,175.806790036441,222.615386299712,159.432489053008,171.302743631512,192.060700497939,2023-12-12 06:00:00,191.657947463054,168.119974622761,174.461216323938,179.994950920577
227.828349011863,161.573940489585,NA,192.060700497939,222.839595328281,130.395106925515,187.521402493744,172.11736222735,128.994353295061,214.311232994127,162.798985570382,175.806790036441,2023-12-12 07:00:00,193.220765878402,168.760093469742,175.160194032063,179.994950920577
132.307055714808,206.444435944167,171.250110125271,175.806790036441,225.394037335071,159.742737040684,NA,192.060700497939,225.338329919914,136.959046327014,194.635462835434,172.11736222735,2023-12-12 08:00:00,194.346474323264,167.715406437288,182.942786480353,179.994950920577
218.553560339261,133.525607098134,187.450137608509,172.11736222735,131.642843485719,214.10119743937,161.970843123048,175.806790036441,222.615386299712,159.432489053008,171.302743631512,192.060700497939,2023-12-12 09:00:00,190.937263374897,169.019764530171,173.57457478769,179.994950920577
227.828349011863,161.573940489585,NA,192.060700497939,222.839595328281,126.664620047123,187.315474652766,172.11736222735,128.994353295061,214.311232994127,159.70838704271,175.806790036441,2023-12-12 10:00:00,193.220765878402,167.516597843612,173.511930847738,179.994950920577
134.460839053902,204.353770778474,169.849297829753,175.806790036441,225.394037335071,159.742737040684,NA,192.060700497939,225.338329919914,132.280333357477,192.369443804636,172.11736222735,2023-12-12 11:00:00,195.064402102962,165.458947058878,181.109370817195,179.994950920577
216.193182143326,133.525607098134,184.43056707972,172.11736222735,130.805473866767,214.10119743937,161.970843123048,175.806790036441,222.615386299712,159.432489053008,171.302743631512,192.060700497939,2023-12-12 12:00:00,189.871347436602,169.019764530171,172.568051278093,179.994950920577
227.828349011863,162.244010678434,NA,192.060700497939,222.839595328281,126.664620047123,187.315474652766,172.11736222735,128.994353295061,214.311232994127,159.70838704271,175.806790036441,2023-12-12 13:00:00,193.220765878402,167.739954573228,173.511930847738,179.994950920577
136.074302921746,202.124372473942,170.832005220323,175.806790036441,225.394037335071,159.742737040684,NA,192.060700497939,225.338329919914,132.280333357477,190.429702441251,172.11736222735,2023-12-12 14:00:00,195.602223392243,164.715814290701,180.630853830787,179.994950920577
216.193182143326,137.571138711776,182.021644129204,172.11736222735,130.805473866767,213.56117889563,161.970843123048,175.806790036441,222.615386299712,159.432489053008,171.302743631512,192.060700497939,2023-12-12 15:00:00,189.871347436602,170.188268886805,171.765076961255,179.994950920577
227.828349011863,162.244010678434,167.443600870587,192.060700497939,222.839595328281,128.703788286381,187.315474652766,172.11736222735,128.994353295061,214.311232994127,160.302584296053,175.806790036441,2023-12-12 16:00:00,193.220765878402,168.419677319647,171.687219939802,179.994950920577
136.074302921746,200.533036724793,174.97811427317,175.806790036441,225.394037335071,159.742737040684,NA,192.060700497939,225.338329919914,133.720350305088,192.321913493144,172.11736222735,2023-12-12 17:00:00,195.602223392243,164.665374690188,183.650013883157,179.994950920577
